"timestep","group0_trust_in_sp0.mean","group0_trust_in_sp0.sd","group0_trust_in_sp1.mean","group0_trust_in_sp1.sd","group0_trust_in_sp2.mean","group0_trust_in_sp2.sd","group1_trust_in_sp0.mean","group1_trust_in_sp0.sd","group1_trust_in_sp1.mean","group1_trust_in_sp1.sd","group1_trust_in_sp2.mean","group1_trust_in_sp2.sd","group2_trust_in_sp0.mean","group2_trust_in_sp0.sd","group2_trust_in_sp1.mean","group2_trust_in_sp1.sd","group2_trust_in_sp2.mean","group2_trust_in_sp2.sd","group3_trust_in_sp0.mean","group3_trust_in_sp0.sd","group3_trust_in_sp1.mean","group3_trust_in_sp1.sd","group3_trust_in_sp2.mean","group3_trust_in_sp2.sd"
384,0.644938386357437,0.046581707678758,0.50478634050244,0.00368823753818685,0.681142231568411,0.0505560885821823,0.513045078023536,0.011951504419276,0.804117618561392,0.085968491501889,0.513626865687279,0.00762161687251992,0.645805488566388,0.0480846541265258,0.504866190346474,0.00342871880746697,0.68287176128755,0.0472836096269432,0.514254960127121,0.0125142484658158,0.80459189521846,0.0919133279045914,0.51339797173796,0.0101966153948083
385,0.646539668898632,0.0452901677935067,0.504609835984669,0.00391904496047116,0.681252286360947,0.0492496430831445,0.512000181117521,0.0102848854332111,0.803524124684382,0.0881058772162344,0.514114624002895,0.00839813311466404,0.64720925067836,0.0460926830431618,0.504895979084187,0.00424393890847704,0.683875277950687,0.0461636608128826,0.514261536615828,0.0119037381838976,0.805439458019958,0.0945525461845133,0.513281014374342,0.00895563925604921
386,0.647842532067403,0.0430489927788416,0.50423770729769,0.00382828634447554,0.681156007696659,0.0484728412336922,0.513108813109841,0.0122268805686515,0.799762346136742,0.0883866873901007,0.514186010408283,0.0104512683132669,0.647759652747134,0.0436499420535566,0.504850727160174,0.00405354786950571,0.684203892703383,0.0438300972061434,0.514988599600361,0.0129969133066294,0.802721359565041,0.09717499067848,0.513019042249227,0.00792615721998697
387,0.647886333360427,0.0416166171387826,0.504998886985216,0.00442681365499038,0.680175064899314,0.047936352763275,0.512271977004087,0.0106872121456318,0.7969678150234,0.0904099857057383,0.513410697290134,0.0100497412904208,0.648000603289522,0.0411505278198937,0.504603981133791,0.00348705080742201,0.683703911128267,0.042447358758706,0.514777382779633,0.0109966501364404,0.79987155495408,0.101954623830219,0.512478512118247,0.00780115646868683
388,0.648257062141621,0.040515503312699,0.504734745332887,0.00422416785536035,0.679448177655555,0.0476224176031031,0.51416552883371,0.0120875597844301,0.793170966524724,0.0944814692641138,0.513746165880691,0.00822447730540577,0.648444792165432,0.039489742883572,0.504104621201648,0.00290872769543306,0.684078995520664,0.0427996081228626,0.514795247939382,0.00986168601411537,0.797105382054334,0.106726686580859,0.512974882984988,0.00754182109058572
389,0.648450555676704,0.0395842405332652,0.505140909317255,0.00380279646866179,0.67959907861593,0.0480971902910077,0.514547985546798,0.0124696019894356,0.792338130867333,0.0959807306168904,0.514247863724404,0.0110127265025591,0.648566451476294,0.0385546123465721,0.504311979723486,0.00309383837700644,0.68381948919468,0.0438304725813427,0.51367497622619,0.00974914822537627,0.797661405545679,0.109698154638822,0.514122795857457,0.00831294931224367
390,0.64882633292574,0.0392025231601261,0.504210600529896,0.00401538748703112,0.680007120231557,0.0488632654550823,0.515293996297143,0.0141384320500203,0.791631427622546,0.0978814648032285,0.5135531973371,0.0118207887594019,0.648521918774665,0.0380864846651935,0.504540695713159,0.00377792468469562,0.683568172203793,0.0454522223821043,0.514910344982228,0.0102311118446137,0.793154029815037,0.110777631967386,0.513753450676496,0.00843964159162077
391,0.649295091553995,0.0386765421887566,0.504118206591111,0.00410752244539754,0.677629404847048,0.0524950089652439,0.514437432896585,0.0107169200654867,0.791501698686056,0.0987153389489719,0.514711901884845,0.0134317651833466,0.648999921043863,0.0377497061658278,0.504669065314558,0.00359225894949885,0.680453606737749,0.0494360210629641,0.516080843303005,0.0135022298122635,0.792098962861324,0.111394787959444,0.5134751836291,0.00755556114051198
392,0.648519022386427,0.0382314327345116,0.50439076532604,0.00389455451580449,0.675421310068594,0.0566325310530795,0.514760423780982,0.0114268940623408,0.790153092974963,0.102552543192515,0.514058399769702,0.0133193692601493,0.648238782691302,0.0372715126952084,0.504234882849288,0.0031817121115231,0.67800113182575,0.0538940944870747,0.517214285442753,0.0128111341139752,0.791190687118702,0.111708947043988,0.514031257497286,0.0076833459367894
393,0.646905126437539,0.0396037344121267,0.504337871265995,0.00400022897632022,0.673435017120881,0.0599953140435803,0.515035604665458,0.0120660479228313,0.790596311707098,0.102200446843851,0.513360994206965,0.0110711503916441,0.647428094968874,0.0373232002753259,0.503677696401983,0.00254480215214373,0.675303099751242,0.057366630383029,0.514990490786906,0.00931707404842902,0.79266090636295,0.109875696033692,0.514658519152852,0.00758467025126034
