total_rewards,action_rewards,opinion_rewards,sp0_social_trust,sp1_social_trust,sp2_social_trust,sp0_request_rate,sp1_request_rate,sp2_request_rate,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,sp0_availability,sp1_availability,sp2_availability
135701.0,66543.0,69158.0,0.0,0.0,0.0,35.57272727272727,21.592727272727274,42.834545454545456,1.8127272727272727,33.14181818181818,0.01090909090909091,21.205454545454547,0.04363636363636364,43.78545454545455,0.8566317403526705,0.8766419669922533,0.8671420688484232
132833.0,64085.0,68748.0,0.0,0.0,0.0,35.594545454545454,21.64909090909091,42.75636363636364,1.798181818181818,33.24,0.034545454545454546,21.063636363636363,0.02181818181818182,43.841818181818184,0.8766920365735301,0.8798185941043084,0.7950756931450927
134723.0,66014.0,68709.0,0.0,0.0,0.0,35.64545454545455,21.6,42.75454545454546,1.798181818181818,33.42363636363636,0.02181818181818182,21.216363636363635,0.04,43.5,0.8747258352461107,0.9004208754208755,0.8295130767595152
135706.0,66457.0,69249.0,0.0,0.0,0.0,35.627272727272725,21.630909090909093,42.74181818181818,1.8272727272727274,33.13636363636363,0.02,21.21272727272727,0.03272727272727273,43.77090909090909,0.872161265628987,0.851054887786837,0.8645992853496682
133566.0,64869.0,68697.0,0.0,0.0,0.0,35.53272727272727,21.64,42.82727272727273,1.798181818181818,33.305454545454545,0.01818181818181818,21.081818181818182,0.01818181818181818,43.77818181818182,0.8758634805301131,0.8937153419593346,0.8065378900445765
134862.0,65624.0,69238.0,0.0,0.0,0.0,35.56909090909091,21.62,42.81090909090909,1.790909090909091,33.04181818181818,0.01090909090909091,21.22,0.03636363636363636,43.9,0.8453202474058171,0.8319737616684888,0.8800645544890852
135101.0,65937.0,69164.0,0.0,0.0,0.0,35.56909090909091,21.643636363636364,42.78727272727273,1.8381818181818181,33.18727272727273,0.023636363636363636,21.076363636363638,0.02,43.85454545454545,0.8907631753820988,0.8072076612903226,0.860961203416479
135546.0,66576.0,68970.0,0.0,0.0,0.0,35.63636363636363,21.58,42.78363636363636,1.7836363636363637,33.25636363636364,0.012727272727272728,21.072727272727274,0.02909090909090909,43.845454545454544,0.8944387755102041,0.8313253012048193,0.8607369002592326
134069.0,65400.0,68669.0,0.0,0.0,0.0,35.587272727272726,21.616363636363637,42.79636363636364,1.8490909090909091,33.04,0.02,21.278181818181817,0.03272727272727273,43.78,0.8415674653859909,0.8702161662040542,0.8598436570651712
132134.0,63396.0,68738.0,0.0,0.0,0.0,35.56545454545454,21.592727272727274,42.841818181818184,1.7854545454545454,33.163636363636364,0.012727272727272728,21.30909090909091,0.038181818181818185,43.69090909090909,0.8411124175655641,0.8461603233411923,0.8295632983915461
137478.0,67875.0,69603.0,0.0,0.0,0.0,35.62909090909091,21.58,42.79090909090909,1.7854545454545454,33.30909090909091,0.02909090909090909,21.150909090909092,0.02181818181818182,43.70363636363636,0.848132271892223,0.8914820119639397,0.8948374760994264
133476.0,64797.0,68679.0,0.0,0.0,0.0,35.60363636363636,21.594545454545454,42.801818181818184,1.7836363636363637,33.25090909090909,0.01818181818181818,21.154545454545456,0.02909090909090909,43.763636363636365,0.8689612909815136,0.8874294855603266,0.8151735270379338
136099.0,67074.0,69025.0,0.0,0.0,0.0,35.60727272727273,21.565454545454546,42.82727272727273,1.8654545454545455,33.17272727272727,0.014545454545454545,21.158181818181816,0.02727272727272727,43.761818181818185,0.8613153594771242,0.8963831042913751,0.8665676077265974
137155.0,67986.0,69169.0,0.0,0.0,0.0,35.61090909090909,21.625454545454545,42.763636363636365,1.8490909090909091,33.123636363636365,0.007272727272727273,21.165454545454544,0.02,43.834545454545456,0.9073828244664557,0.7861947200269043,0.9022108843537415
135987.0,66695.0,69292.0,0.0,0.0,0.0,35.61636363636364,21.578181818181818,42.805454545454545,1.6836363636363636,33.42909090909091,0.00909090909090909,21.123636363636365,0.01818181818181818,43.736363636363635,0.9044361631527899,0.8758847320525783,0.832816548443274
137977.0,68449.0,69528.0,0.0,0.0,0.0,35.658181818181816,21.58909090909091,42.75272727272727,1.829090909090909,33.18363636363637,0.01818181818181818,21.174545454545456,0.025454545454545455,43.769090909090906,0.8740057107893127,0.911066195048004,0.8760738283575742
130764.0,62023.0,68741.0,0.0,0.0,0.0,35.6,21.64181818181818,42.75818181818182,1.7727272727272727,33.236363636363635,0.02909090909090909,21.06909090909091,0.02,43.872727272727275,0.8667007150153218,0.8139964714777788,0.7941914359824808
134995.0,66108.0,68887.0,0.0,0.0,0.0,35.56,21.612727272727273,42.82727272727273,1.8309090909090908,33.06545454545454,0.012727272727272728,21.01090909090909,0.03272727272727273,44.04727272727273,0.8763677267614276,0.8392361403213595,0.8607514328168118
